TrailNumber,Timestamp,TargetWeight,TraceWeight,obj_r1,OpenState,FinalState,steps,hyperVolumn,Len,path,PA1[0],PA1[1],PA1[2],PA1[3],PA2[0],PA2[1],PA2[2],PA2[3],PAtotal[0],PAtotal[1],PAtotal[2],PAtotal[3]
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(1-1),(7-7),12,2869868.752,89,(1-1)->(2-1)->(3-1)->(3-2)->(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(2-1),(7-7),11,2869868.752,82,(2-1)->(3-1)->(3-2)->(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(3-1),(7-7),10,2869868.752,75,(3-1)->(3-2)->(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(4-1),(7-7),9,2869868.752,68,(4-1)->(5-1)->(6-1)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(5-1),(7-7),8,2869868.752,61,(5-1)->(6-1)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(6-1),(7-7),7,2869868.752,54,(6-1)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(7-1),(7-7),6,2869868.752,47,(7-1)->(7-2)->(7-3)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(8-1),(10-11),12,2869868.752,94,(8-1)->(8-2)->(8-3)->(8-4)->(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(9-1),(10-11),11,2869868.752,87,(9-1)->(9-2)->(9-3)->(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(10-1),(10-11),10,2869868.752,88,(10-1)->(10-2)->(10-3)->(10-4)->(10-5)->(10-6)->(10-7)->(10-8)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(2-2),(7-7),10,2869868.752,75,(2-2)->(3-2)->(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(3-2),(7-7),9,2869868.752,68,(3-2)->(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(4-2),(7-7),8,2869868.752,61,(4-2)->(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(5-2),(7-7),7,2869868.752,54,(5-2)->(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(6-2),(7-7),6,2869868.752,47,(6-2)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(7-2),(7-7),5,2869868.752,40,(7-2)->(7-3)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(8-2),(10-11),11,2869868.752,87,(8-2)->(8-3)->(8-4)->(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(9-2),(10-11),10,2869868.752,80,(9-2)->(9-3)->(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(10-2),(10-11),9,2869868.752,80,(10-2)->(10-3)->(10-4)->(10-5)->(10-6)->(10-7)->(10-8)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9918.324835,10000,11900,14000,9.918325,10,11.9,14
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(3-3),(7-7),8,2869868.752,61,(3-3)->(4-3)->(5-3)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(4-3),(7-7),7,2869868.752,54,(4-3)->(5-3)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
0,1500,1500.000000|2350.000000,0.000000|1.000000,0,(5-3),(7-7),6,2869868.752,47,(5-3)->(6-3)->(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572714,1.850093,4.253844,1,3612.239091,4249.671977,4426.278264,5000,3.612239,4.249672,4.426278,5
